lni_edition,year,filename,label_research_software,label_research_software_justification,label_software_evaluation,label_software_evaluation_justification,label_empirical_study,label_empirical_study_justification,status
lni111,2007,gi-proc-111-011.pdf,1,"The article discusses the development and use of eduDocBook, which is a structured XML format for creating educational content. This indicates the presence of research software as it involves the creation of a specific format and associated tools for content production.",1,"The article includes evaluations of the eduDocBook format and its effectiveness in producing modular and reusable learning content, suggesting that the quality characteristics of the software are assessed through practical applications and user feedback.",1,"The article describes empirical evaluations conducted within the context of the Up2UML project, where the effectiveness of the eduDocBook format and associated tools in real-world educational settings is tested, indicating that it is an empirical study.",success
lni111,2007,gi-proc-111-012.pdf,1,"The article discusses the development and implementation of an Authoring Management System (AMS) for creating e-learning content, which qualifies as research software since it involves a computational platform designed for a specific research purpose.",1,"The article includes a section on the evaluation of the AMS, discussing its effectiveness and efficiency in the content creation process, which indicates that the quality characteristics of the software are being assessed.",1,"The article describes empirical evaluations conducted with application partners to test the AMS in real-world scenarios, which aligns with the criteria for empirical research as it involves testing and assessing the software's performance in practice.",success
lni111,2007,gi-proc-111-013.pdf,1,"The article discusses a tool developed for analyzing log files from lecture recordings, indicating the presence of research software created for the purpose of the study.",1,"The article evaluates the effectiveness and usage of the developed tool through log file analysis, assessing its functionality and usability based on student interactions with lecture materials.",1,"The article presents an empirical study that analyzes log file data to draw conclusions about student behavior and preferences regarding lecture recordings, employing statistical methods to interpret the data.",success
lni111,2007,gi-proc-111-014.pdf,0,"The article discusses E-Teaching and E-Learning strategies but does not mention any specific research software, algorithms, or computational workflows developed during the research process.",0,There is no evaluation of any research software in the article; it focuses on the strategic importance and incentives for E-Teaching rather than assessing software quality or performance.,1,"The article presents findings from an empirical study (the E-Readiness study) that surveys the perceptions of higher education institutions regarding E-Learning, which involves data collection and analysis.",success
lni111,2007,gi-proc-111-015.pdf,0,"The article discusses the establishment of E-Learning at a university and the organizational aspects involved, but it does not mention any specific research software, algorithms, or computational workflows created for the research purpose.",0,There is no evaluation of any research software in the article. The focus is on organizational models and strategies rather than assessing the quality or effectiveness of software.,1,"The article presents an empirical study by analyzing the organizational structures and communication flows at a university, using the Viable System Model to derive conclusions about E-Learning implementation, which involves empirical research methods.",success
lni111,2007,gi-proc-111-016.pdf,1,"The article discusses the implementation of the IMS Question & Test Interoperability Specification (QTI) in the system 'ECQuiz', indicating the presence of research software developed for the purpose of facilitating test interoperability.",1,"The article critically analyzes the QTI specification and its implementation in 'ECQuiz', evaluating its effectiveness and identifying weaknesses, which constitutes an evaluation of the software.",1,"The article describes the implementation of QTI in 'ECQuiz' and discusses the challenges faced during this process, which aligns with empirical research as it involves practical application and analysis of the software in a real-world context.",success
lni111,2007,gi-proc-111-017.pdf,0,"The article discusses the current state and perspectives of eLearning infrastructure at German universities but does not mention any specific research software, algorithms, or computational workflows created for the research process.",0,There is no evaluation of any research software in the article. It focuses on the infrastructure and organizational aspects of eLearning rather than assessing the quality or performance of any software.,1,"The article presents an empirical study based on a survey conducted among universities regarding their eLearning infrastructures, which includes data collection and analysis of responses from multiple institutions.",success
lni111,2007,gi-proc-111-018.pdf,0,"The article discusses the sustainability of E-Learning infrastructures and presents a taxonomy, but it does not mention any specific research software, algorithms, or computational workflows created for the research purpose.",0,The article does not evaluate any specific research software or its quality characteristics; it focuses on theoretical aspects of sustainability and interoperability in E-Learning systems.,0,"The article is not an empirical study; it does not present hypothesis-testing, descriptive, or intervening empirical research. Instead, it provides a conceptual analysis and taxonomy related to E-Learning infrastructures.",success
lni111,2007,gi-proc-111-019.pdf,1,"The article describes the development and implementation of the koaLA platform, which is a research software designed for cooperative learning and working environments in a university setting. It includes functionalities that support various learning contexts, indicating the presence of research software.",1,"The article evaluates the koaLA platform based on its implementation and user feedback during a test phase. It discusses the effectiveness of the platform in facilitating learning and collaboration, which constitutes an evaluation of the software's quality and usability.",1,"The article presents findings from a test phase where koaLA was used in various educational settings, collecting data on user interactions and experiences. This aligns with empirical research as it involves observing and analyzing the software's impact on learning outcomes.",success
lni111,2007,gi-proc-111-020.pdf,1,"The article discusses the use of podcast technology for educational purposes, indicating that it involves the creation and distribution of media files (podcasts) which can be considered as research software in the context of educational technology.",1,"The article evaluates the effectiveness and user acceptance of the podcast software through surveys and analysis of usage statistics, which constitutes an evaluation of the software's quality characteristics.",1,"The article presents empirical research based on surveys conducted with students and external users, analyzing their usage patterns and perceptions of the podcast software, thus fulfilling the criteria for an empirical study.",success
lni111,2007,gi-proc-111-021.pdf,1,"The article discusses the development of the 'Medi@rena Composer', which is a framework for cooperative knowledge organization and includes specific software components and architecture based on the Eclipse Rich Client Platform. This indicates the presence of research software created for the purpose of the study.",1,"The article evaluates the software by discussing its features, usability, and effectiveness in educational settings, particularly in comparison to traditional methods. It highlights the core characteristics of the software and its application in real-world scenarios, which constitutes an evaluation of its quality.",1,"The article describes empirical experiences and case studies from the implementation of the Medi@rena Composer in university teaching, indicating that it involves empirical research methods to assess the software's impact on learning processes.",success
lni111,2007,gi-proc-111-022.pdf,1,"The article discusses the implementation and evaluation of negotiation support functionalities in CSCL systems, indicating the presence of research software developed for this purpose.",1,"The article evaluates the negotiation support functionalities of three different CSCL systems, comparing their effectiveness and deriving design principles based on the evaluation results.",1,"The article describes empirical studies conducted to evaluate the negotiation support functionalities, including field experiments and user feedback, which align with the criteria for empirical research.",success
lni111,2007,gi-proc-111-023.pdf,1,"The article discusses the development and implementation of a context-aware system for collaborative learning, which implies the presence of research software that supports this functionality.",1,"The article evaluates the effectiveness of the proposed approach in identifying relevant experts for collaborative learning, indicating an assessment of the software's quality and performance.",1,"The article describes a study conducted within the APOSDLE project, which involves empirical methods to assess the system's effectiveness in real-world scenarios, thus qualifying it as an empirical study.",success
lni111,2007,gi-proc-111-024.pdf,1,"The article describes the OSOTIS video search engine, which involves the development of software for automatic content-based annotation of video data. This indicates the presence of research software created for the purpose of the study.",0,"While the article discusses the functionalities and features of the OSOTIS software, it does not provide a formal evaluation of the software's quality characteristics or performance metrics, which is necessary for classification as an evaluation.",1,"The article presents a systematic approach to the development and application of the OSOTIS software, including user interaction and collaborative tagging, which aligns with empirical research methodologies in the context of educational video data.",success
lni111,2007,gi-proc-111-025.pdf,1,"The article discusses a tool designed to support the adaptation of existing e-learning materials, which indicates the presence of research software developed for this purpose.",0,"While the article describes the functionality of the adaptation tool, it does not provide an evaluation of the software's quality characteristics or performance metrics.",0,The article does not present an empirical study; it focuses on the development and description of a software tool rather than conducting research that tests hypotheses or analyzes data.,success
lni111,2007,gi-proc-111-026.pdf,1,The article describes the development of recording and diagnostic software (TrackingKara and EvalKara) specifically designed to support learners in solving algorithmic problems. This indicates the presence of research software created for the research purpose.,1,"The article discusses the practical applicability of the developed software through empirical studies, which implies that the quality and effectiveness of the software were evaluated during these studies.",1,"The article presents empirical studies involving individual interviews and case studies with learners, analyzing their approaches to problem-solving. This aligns with the definition of empirical research as it involves hypothesis testing and data collection to draw conclusions.",success
lni111,2007,gi-proc-111-027.pdf,0,"The article discusses a security model for electronic examinations but does not mention any specific research software, algorithms, or computational workflows developed during the research process.",0,There is no evaluation of any research software in the article; it focuses on theoretical aspects of security requirements and models rather than assessing software quality characteristics.,0,The article does not present an empirical study; it outlines a conceptual framework for security in electronic examinations without conducting empirical research or testing hypotheses.,success
lni111,2007,gi-proc-111-028.pdf,1,The article discusses the development of a context-aware E-Learning system (APOSDLE) that utilizes machine learning algorithms and software hooks to predict user tasks based on sensor data from the desktop. This indicates the presence of research software created for the purpose of the study.,1,"The article mentions an evaluation of the prediction quality of the software using machine learning techniques, specifically Support Vector Machines, and indicates that further user testing is needed to validate the concept. This suggests that the software's performance and quality characteristics are being assessed.",1,"The article describes an empirical approach where the software is tested in real-world scenarios to predict user tasks and provide contextual learning materials. It involves collecting data from user interactions and analyzing it to improve the software's predictive capabilities, fitting the criteria for empirical research.",success
lni111,2007,gi-proc-111-029.pdf,1,"The article describes the CLab, a web-based interactive learning platform that includes various learning modules and applications, indicating the presence of research software developed for educational purposes in computational linguistics.",1,"The article mentions automatic quantitative evaluations of the learning applications (ILAP) and self-evaluations, which assess the performance and effectiveness of the software, thus indicating an evaluation of the software's quality characteristics.",1,"The article discusses the use of the CLab in a learning context, where students engage with realistic problem-solving scenarios, suggesting that it employs empirical methods to assess learning outcomes and effectiveness, fitting the criteria for an empirical study.",success
lni111,2007,gi-proc-111-030.pdf,0,"The article discusses the integration of e-learning and the establishment of support structures but does not mention any specific research software, algorithms, or computational tools developed during the research process.",0,There is no evaluation of any research software in the article. It focuses on strategies for integrating e-learning rather than assessing the quality or effectiveness of any software.,0,"The article does not present an empirical study. It outlines strategies and projects related to e-learning without providing data collection, hypothesis testing, or statistical analysis typical of empirical research.",success
lni111,2007,gi-proc-111-031.pdf,1,"The article discusses the use of two learning platforms (WebCT and BSCL) as part of an e-learning initiative, indicating the presence of research software utilized for educational purposes.",1,"The article includes an evaluation of the e-learning initiative, assessing its effectiveness in improving educational support for students, which implies an evaluation of the software's quality and impact.",1,"The article describes a longitudinal study design with data collection and analysis to assess the impact of e-learning on student learning outcomes, fitting the criteria for an empirical study.",success
lni111,2007,gi-proc-111-032.pdf,0,"The article discusses the use of online learning platforms and pedagogical approaches but does not mention any specific research software, source code, or computational tools developed for the research purpose.",0,There is no evaluation of any research software in the article; it primarily focuses on the pedagogical implications and perspectives of using learning platforms rather than assessing software quality.,0,The article does not present an empirical study; it discusses theoretical perspectives and frameworks regarding e-learning without conducting hypothesis-testing or descriptive empirical research.,success
lni132,2008,101.pdf,1,"The article discusses the integration of a service-oriented architecture for a Thermoschock testing facility, utilizing the Wasabi Framework, which indicates the presence of research software developed for the purpose of integrating laboratory components into a digital library infrastructure.",1,"The article evaluates the service-oriented architecture and the Wasabi Framework in terms of its effectiveness in integrating various research and learning services, which involves assessing the quality and functionality of the software in a practical context.",1,"The article describes the implementation of a new architecture for a laboratory that involves empirical testing of materials under thermal shock conditions, indicating that the software is used as a means to conduct empirical research and analyze results.",success
lni132,2008,113.pdf,1,"The article discusses the development and implementation of a software tool designed to support resource-based learning, indicating the presence of research software.",1,"The article includes evaluation results of the software tool, assessing its effectiveness in supporting the learning process, which qualifies as an evaluation of the software.",1,"The article describes an empirical study involving a prototype tested with students, where the software was used to facilitate the research process and collect data on its effectiveness.",success
lni132,2008,125.pdf,1,"The article describes the development of a goal management tool implemented as a Firefox extension, which qualifies as research software since it was created for the purpose of supporting self-regulated learning.",1,"The article includes an evaluation study that assesses the effectiveness of the goal management tool in comparison to other methods, indicating that the quality characteristics of the software are being evaluated.",1,"The article presents an empirical study involving participants who used the software in a controlled setting, with data collected and analyzed to assess the tool's impact on learning outcomes.",success
lni132,2008,137.pdf,1,The article discusses a web-based collaborative authoring system (Mehrautorensystem) that is used for creating documents in a collaborative environment. This indicates the presence of research software developed for educational purposes.,1,"The article evaluates the usage and effectiveness of the collaborative authoring system through data analysis, including user engagement metrics and feedback mechanisms, which reflects an evaluation of the software's quality and performance.",1,"The article presents empirical findings based on the usage of the software by students, analyzing their interaction with the system and the outcomes of their collaborative work, thus qualifying as an empirical study.",success
lni132,2008,149.pdf,1,"The article discusses the development of an automatic semantic annotation method for lecture videos, which implies the creation of algorithms and possibly scripts for processing the transcripts and generating annotations. This indicates the presence of research software.",1,"The article includes an evaluation of the proposed method by comparing the results of the automatic annotations with manually created annotations, thus assessing the quality and effectiveness of the software developed.",1,"The article describes empirical tests conducted to evaluate the performance of the semantic search engine based on the generated annotations, which involves hypothesis-testing and statistical analysis of the results, qualifying it as an empirical study.",success
lni132,2008,15.pdf,0,"The article does not mention any specific research software, source code, algorithms, or computational workflows created for the research process.",0,"There is no evaluation of any research software in the article, as it does not discuss quality characteristics or performance metrics of any software.",1,"The article presents an empirical study that analyzes media usage among different generations, utilizing data from various studies to support its claims.",success
lni132,2008,161.pdf,1,"The article discusses the development of a prototype system for presentation and recording of lectures, which implies the presence of research software in the form of a prototype that was created for this purpose.",1,"The article evaluates the prototype system by discussing its functionality, user experiences, and the challenges faced during its implementation, which indicates an assessment of the software's quality characteristics.",1,"The article describes an empirical study where the prototype was tested in a real educational setting across multiple lecture sessions, collecting data on its effectiveness and user interaction, thus qualifying as an empirical study.",success
lni132,2008,173.pdf,1,"The article discusses the development of DUESIE, an online exercise system for programming education, which includes various functionalities for evaluating programming tasks. This indicates the presence of research software created for educational purposes.",1,"The article describes the evaluation mechanisms of the DUESIE system, including automated grading and feedback processes, which assess the quality of the software's performance in educational settings.",1,"The article outlines the implementation of DUESIE in a real educational context, involving student interactions and assessments, which qualifies it as an empirical study focused on the effectiveness of the software in teaching programming.",success
lni132,2008,185.pdf,1,"The article discusses the development and implementation of a web-based exercise management module integrated into an eLearning portal, which qualifies as research software since it involves the creation of a system designed for educational purposes.",1,"The article includes an evaluation of existing solutions and discusses the requirements and functionalities of the developed software, indicating that the quality and effectiveness of the software are assessed.",1,"The article describes a pilot implementation of the software in real educational settings, collecting feedback and experiences from users, which aligns with the characteristics of an empirical study.",success
lni132,2008,197.pdf,1,"The article discusses a security concept for electronic examinations that involves the development of a software architecture, which implies the presence of research software related to the implementation of this concept.",0,"While the article presents a security architecture and discusses its implementation, it does not provide an evaluation of the software's quality characteristics or performance metrics.",0,The article does not present empirical research; it focuses on theoretical concepts and architectural design rather than hypothesis testing or data collection.,success
lni132,2008,209.pdf,1,"The article discusses the use of various digital learning media, including podcasts and online exercises, which can be considered as research software since they are integral to the educational framework being evaluated.",1,"The article evaluates the effectiveness and acceptance of the educational concept, which includes the software components like podcasts and online exercises, assessing their impact on student learning and engagement.",1,"The article describes an empirical study that involves qualitative evaluation methods, including surveys and observational data collection, to assess the learning outcomes and user experiences related to the software used in the educational setting.",success
lni132,2008,221.pdf,1,"The article discusses the development of a technical platform that integrates various tools, including E-Portfolios and E-Assessment, which indicates the presence of research software created for the purpose of enhancing educational practices.",1,"The article evaluates the software by discussing its design process, user roles, and functionalities, as well as the iterative testing and improvement of the platform, which reflects an assessment of its quality and effectiveness.",1,"The article describes an empirical study where the platform is tested in a real educational context, involving the collection and analysis of data related to student learning outcomes and experiences, thus qualifying as an empirical study.",success
lni132,2008,233.pdf,0,"The article does not mention any specific research software, source code, algorithms, or computational workflows that were created during the research process.",0,There is no evaluation of any research software in the article; it does not assess the quality characteristics of any software used.,1,"The article describes an empirical study involving the use of online learning platforms in schools, including the collection of data through questionnaires and performance measurements to analyze the effectiveness of these platforms.",success
lni132,2008,245.pdf,1,"The article presents a web-based support system designed to assist educators in creating didactic-methodical designs for online teaching, which qualifies as research software since it involves algorithms and workflows developed for educational purposes.",1,"The article discusses the requirements and functionalities of the software, indicating an evaluation of its effectiveness in supporting didactic design, which aligns with assessing quality characteristics of the software.",1,"The article outlines a structured approach to implementing and evaluating the software in educational settings, suggesting that it involves empirical research methods to assess its impact on teaching practices.",success
lni132,2008,257.pdf,1,"The article discusses the development and implementation of a software-based teaching assistant that supports the didactic design of online courses, indicating the presence of research software.",1,"The article evaluates the effectiveness and adaptability of the software in supporting the didactic processes, which involves assessing its quality characteristics.",1,"The article describes a conceptual framework and discusses its application in real-world online teaching scenarios, suggesting that it is based on empirical observations and practices in educational settings.",success
lni132,2008,269.pdf,1,"The article discusses the concept of 'Learnflow Mining' and proposes a method for synthesizing learning process models from real learning flows, which implies the development of algorithms and potentially software tools to implement this method.",0,"While the article presents a method for generating learning process models, it does not provide an evaluation of the software or algorithms developed, focusing instead on the theoretical framework and methodology.",1,"The article describes the application of the proposed method in educational settings, using real learning data to illustrate the effectiveness of the approach, which aligns with the characteristics of empirical research.",success
lni132,2008,281.pdf,1,"The article discusses the development and implementation of a software tool designed for GUI testing in Java applications, indicating the presence of research software.",1,"The article evaluates the functionality and effectiveness of the software tool, assessing its ability to capture and reproduce user interactions, which constitutes a quality evaluation of the software.",1,"The article presents empirical research by applying the software tool in real-world scenarios to test its effectiveness, thus fulfilling the criteria for an empirical study.",success
lni132,2008,29.pdf,1,"The article discusses the development and implementation of a software tool, media2mult, which is designed for document components and multimedia processing. This indicates the presence of research software created for a specific research purpose.",1,"The article includes sections that assess the functionality and effectiveness of the media2mult software, indicating that the quality characteristics of the software are evaluated.",1,"The article presents empirical research where the software is used to conduct various analyses and evaluations, fitting the criteria for an empirical study as it involves systematic investigation and data analysis.",success
lni132,2008,293.pdf,1,"The article describes the development and implementation of an adaptive help system (CHEetah) for web-based applications, which includes source code and algorithms used for user modeling and help adaptation.",1,"The article includes a detailed evaluation of the adaptive help system, discussing various studies that assess its effectiveness and the quality of its adaptive features based on user interactions and feedback.",1,"The article presents empirical studies that test the effectiveness of the adaptive help system, including user interactions and evaluations of help components, thus qualifying as an empirical study.",success
lni132,2008,305.pdf,1,The article discusses the use of technopädagogische Entwurfsmuster (technological-pedagogical design patterns) which implies the presence of research software in the form of tools or frameworks developed to support the supervision of thesis projects.,0,"While the article describes the implementation of design patterns and their application, it does not provide an evaluation of the quality characteristics of any specific software or tools used in the research process.",1,"The article presents findings based on experiences from implementing the design patterns in supervising thesis projects, indicating that it involves empirical research through the collection of data and feedback from students.",success
lni132,2008,317.pdf,0,"The article discusses data privacy and confidentiality in learning management systems but does not mention any specific research software, algorithms, or computational workflows developed for the research purpose.",0,The article does not evaluate any research software; it primarily focuses on discussing issues related to data collection and privacy in e-learning systems without assessing the quality or performance of any software.,1,"The article includes an empirical investigation of learning management systems regarding data collection and potential issues, indicating that it employs empirical research methods to analyze the subject matter.",success
lni132,2008,329.pdf,0,"The article discusses data protection regulations in e-learning but does not mention any specific research software, algorithms, or computational workflows developed for the research purpose.",0,There is no evaluation of any research software in the article; it focuses on legal and ethical considerations rather than assessing software quality or performance.,0,The article does not present an empirical study; it primarily discusses theoretical frameworks and legal aspects of data protection in e-learning without conducting empirical research or analysis.,success
lni132,2008,341.pdf,1,"The article discusses the APOSDLE e-learning system, which is described as a socio-technical system that processes personal data and provides context-specific learning resources. This indicates the presence of research software developed for the purpose of enhancing e-learning in workplace settings.",1,"The article evaluates the APOSDLE system in terms of its compliance with privacy regulations and its effectiveness in providing learning support. It discusses how the system addresses privacy concerns and the technical and legal dimensions of data processing, which implies an evaluation of the software's quality characteristics.",1,"The article presents an empirical study by analyzing the implementation of the APOSDLE system in real-world settings, focusing on its impact on workplace learning and data privacy. It discusses the collection and processing of user data, which aligns with empirical research methodologies.",success
lni132,2008,353.pdf,1,"The article discusses the Graphical Learning Modeller (GLM), which is a software tool developed to assist educators in creating IMS Learning Design compliant learning units. This indicates the presence of research software as it was created for a research purpose.",1,"The article includes user evaluations of the GLM, where feedback from different user groups is presented, assessing various quality characteristics of the software. This indicates that the software has been evaluated.",1,"The article describes empirical evaluations conducted with different user groups, including educators and IMS LD experts, to assess the usability and effectiveness of the GLM. This aligns with the criteria for an empirical study.",success
lni132,2008,365.pdf,1,"The article discusses the development of computer-based learning games, which implies the creation of software as part of the research process. It mentions the systematic incorporation of fascination elements from computer games into the development process, indicating that software was created for research purposes.",0,"While the article discusses various models and approaches for developing learning games, it does not provide an evaluation of the software's quality characteristics. There is no mention of assessing the effectiveness or performance of the software developed.",1,"The article includes an empirical investigation into the fascination elements of computer games, which is based on qualitative data from experts. This aligns with the criteria for empirical research, as it involves systematic inquiry and analysis of data related to the development of learning games.",success
lni132,2008,377.pdf,1,"The article discusses the development and implementation of a proxy server as a proof-of-concept for enhancing security in E-Learning systems, indicating the presence of research software.",1,"The article evaluates the security implications and effectiveness of the proxy server in relation to the design criteria for E-Learning, thus assessing the quality characteristics of the software.",1,"The research involves an empirical analysis of security requirements in E-Learning, utilizing the developed software to explore its effectiveness in real-world scenarios, which aligns with the criteria for empirical studies.",success
lni132,2008,389.pdf,1,"The article discusses the integration of algorithm visualizations in teaching, specifically mentioning the use of the ANIMAL system for algorithm animation, which qualifies as research software created for educational purposes.",1,"The article evaluates the effectiveness and usability of the ANIMAL system in educational settings, discussing its features and how it can enhance learning, which constitutes an evaluation of the software.",1,"The article describes scenarios and methodologies for using the ANIMAL system in educational contexts, indicating that it involves empirical research to assess the impact of algorithm visualizations on learning outcomes.",success
lni132,2008,401.pdf,1,"The article discusses the development of a new XML-based standard for 3D animation of algorithms and data structures, which implies the presence of research software in the form of the xml3DVis language and its interpreter.",1,"The article includes an evaluation of the xml3DVis language, discussing its capabilities and comparing it to existing standards, which indicates an assessment of its quality characteristics.",1,"The article presents an empirical study by demonstrating the application of the developed software in visualizing the Travelling Salesman Problem, which involves testing and analyzing the software's effectiveness in an educational context.",success
lni132,2008,41.pdf,1,"The article discusses the orchestration of Web 2.0 applications in educational contexts, indicating the presence of software tools that were utilized for collaborative learning processes.",1,"The article evaluates the effectiveness and impact of the Web 2.0 applications used in the educational scenario, assessing their role in facilitating collaborative learning and providing recommendations based on the evaluation results.",1,"The article describes an empirical study conducted during a practical week where students engaged in collaborative learning using the mentioned software, and it includes qualitative feedback from participants, indicating a structured research approach.",success
lni132,2008,413.pdf,1,"The article discusses the development and implementation of research software, including source code and algorithms designed for educational purposes in programming workshops.",1,"The article evaluates the effectiveness and quality of the research software through user feedback and performance metrics, assessing its impact on learning outcomes.",1,"The article presents an empirical study that involves collecting data from participants in programming workshops, analyzing their performance and experiences to draw conclusions about the software's effectiveness.",success
lni132,2008,425.pdf,1,"The article describes the development of a Feedback Annotation Service (FAS) for multimedia eLectures, which qualifies as research software since it involves the creation of an interactive multimedia application designed to enhance online learning.",0,"While the article discusses the functionalities of the Feedback Annotation Service, it does not provide an evaluation of the software's quality characteristics or performance metrics, which is necessary for classification as software evaluation.",1,"The article presents a practical application of the software in an educational context, indicating that it is used to gather feedback and improve online learning experiences, which aligns with the characteristics of an empirical study.",success
